url,attacker_ipv4,attacker_ipv6,hash_256,hash_1,md5,filename
1p792tkokdddis2ej1hu.appsync-api.us-west-2.avsvmcloud.com,8.18.145.52,2a0d:5600:9::9a90:2fcb:c175,,,,
1pdb004l01o2rvpfhl9apor.appsync-api.us-east-2.avsvmcloud.com,8.18.145.53,2a0d:5600:9::9b33:abd4:96f7,,,,
1r8hapotoihl27dcu30e2st.appsync-api.us-east-2.avsvmcloud.com,8.18.145.55,2a0d:5600:9::9d16:c584:5742,,,,
1rndq7kt61lqd2qc0fju9nf.appsync-api.us-east-2.avsvmcloud.com,8.18.145.66,2a0d:5600:9::9db7:1f30:8241,,,,
1rulnov28l330v0dovirsvu10igi10ce.appsync-api.us-east-2.avsvmcloud.com,8.18.145.75,2a0d:5600:9::a1c2:3e9d:5fd4,,,,
1v3h0do8of5lp1lcu30o2st.appsync-api.us-east-2.avsvmcloud.com,8.18.145.8,2a0d:5600:9::a38e:5a1a:2387,,,,
1v8snc7udvdj8i0doi602ou6iuir0grn.appsync-api.us-east-2.avsvmcloud.com,8.18.145.81,2a0d:5600:9::a582:2011:e14,,,,
1vm0vetvdv46lcgc0be2h.appsync-api.us-east-2.avsvmcloud.com,8.18.145.9,2a0d:5600:9::a5ac:dfc7:bc0f,,,,
202jdr3e38aja16ohr63.appsync-api.us-west-2.avsvmcloud.com,8.18.145.98,2a0d:5600:9::a815:b6f8:d473,,,,
21dh2sca90g78hqeen60ceudo1uv2f0i.appsync-api.us-east-2.avsvmcloud.com,13.56.226.124,2a0d:5600:9::a877:7000:7eed,,,,
228ee8pulstcaucuqbu2.appsync-api.us-east-1.avsvmcloud.com,13.65.251.83,2a0d:5600:9::a962:d69f:9628,,,,
23do4svnpch9h31ewh60bun02wusouv0.appsync-api.us-east-1.avsvmcloud.com,13.84.134.105,2a0d:5600:9::ab30:e21b:2ac2,,,,
23hrcr27nmgbbbud6d6n0t6j0teu.appsync-api.us-east-1.avsvmcloud.com,13.90.103.231,2a0d:5600:9::b07e:d3a3:8c43,,,,
257tlf3pak4ak37okvtk.appsync-api.us-east-2.avsvmcloud.com,13.92.233.22,2a0d:5600:9::b17:e8ed:8d6d,,,,
276frivk6t9sblge00mudofi75f4tjvh.appsync-api.us-west-2.avsvmcloud.com,18.130.193.22,2a0d:5600:9::b264:4844:dbd2,,,,
2788hsokf4b6lkadhom2v3o110ie2h.appsync-api.us-west-2.avsvmcloud.com,20.140.0.185,2a0d:5600:9::b4c1:2a04:f6a1,,,,
27nhvs59fmfqk7kewh60gun0owusouv0.appsync-api.us-west-2.avsvmcloud.com,20.140.0.81,2a0d:5600:9::b509:44c7:cf44,,,,
28aflvuho4t2ef2du30e2st.appsync-api.us-east-2.avsvmcloud.com,20.140.100.139,2a0d:5600:9::b576:d10f:b689,,,,
28j5sl2eknfre96d3twe0ge2h.appsync-api.us-east-2.avsvmcloud.com,20.140.10.221,2a0d:5600:9::b7c3:fadb:765e,,,,
28phos6q9al7th2een60eeudo1uv2f0t.appsync-api.us-east-2.avsvmcloud.com,20.140.104.94,2a0d:5600:9::b960:db2:25f3,,,,
28pmu858tudkd4vd5u0o1e1.appsync-api.us-east-2.avsvmcloud.com,20.140.107.234,2a0d:5600:9::bae:d95:eb01,,,,
28rc1mao5cs2ru9du30g2st.appsync-api.us-east-2.avsvmcloud.com,20.140.112.220,2a0d:5600:9::bc1f:dbfa:2238,,,,
2a0mm2rgtnibvqcj7mfu.appsync-api.us-west-2.avsvmcloud.com,20.140.112.243,2a0d:5600:9::bed0:f003:3480,,,,
2ajau1jas8atmolj73l1.appsync-api.us-east-2.avsvmcloud.com,20.140.114.106,2a0d:5600:9::bedb:524c:3b50,,,,
2attp7aog2oennljum7g.appsync-api.us-west-2.avsvmcloud.com,20.140.114.189,2a0d:5600:9::c29b:7f60:7d40,,,,
2c8ff0an7hnj4nsdco0te2sd.appsync-api.us-west-2.avsvmcloud.com,20.140.114.200,2a0d:5600:9::c2df:ca96:dbcd,,,,
2cd00j4gv060m1lde56o0g12eu1.appsync-api.us-west-2.avsvmcloud.com,20.140.116.15,2a0d:5600:9::c4a2:29dd:d4f,,,,
2cjmh3c24aaf4thde6u0i12eu1.appsync-api.us-west-2.avsvmcloud.com,20.140.1.170,2a0d:5600:9::c64f:2358:a154,,,,
2ckh9sn0fvvql7fewh60eun0twusouv0.appsync-api.us-west-2.avsvmcloud.com,20.140.119.154,2a0d:5600:9::c677:8c3e:140a,,,,
2cv8mnbeha1qglreoi60gou6iuir0crn.appsync-api.us-west-2.avsvmcloud.com,20.140.119.196,2a0d:5600:9::c6d4:8ee7:d208,,,,
2f2ki1p5rubnrhleuhs0ee2sd0oovir1.appsync-api.us-east-1.avsvmcloud.com,20.140.122.138,2a0d:5600:9::c74a:8d92:aa2b,,,,
2f9dj160un1hhpfde2q0b12eu1.appsync-api.us-east-1.avsvmcloud.com,20.140.122.210,2a0d:5600:9::c751:1ddf:174b,,,,
2frdratujptgvlmeeoip256uesuhrvi2.appsync-api.us-east-1.avsvmcloud.com,20.140.123.240,2a0d:5600:9::c812:411a:d907,,,,
2g57e0i9oageug9eoi60eou6iuir0crn.appsync-api.us-east-2.avsvmcloud.com,20.140.124.8,2a0d:5600:9::c868:d6cb:9540,,,,
2jnmnc5tttkk42vd5u0i1e1.appsync-api.us-east-2.avsvmcloud.com,20.140.128.33,2a0d:5600:9::c868:eba0:e399,,,,
2jri6np3cjtd0qpeoi602ou6iuir0grn.appsync-api.us-east-2.avsvmcloud.com,20.140.130.157,2a0d:5600:9::cd11:d8d2:cc3c,,,,
2ken65g9tgjc46civriiphn.appsync-api.us-west-2.avsvmcloud.com,20.140.131.21,2a0d:5600:9::cfc9:2ba5:bd18,,,,
2ljladle9a0ud8kewh60eun0ewusouv0.appsync-api.us-west-2.avsvmcloud.com,20.140.137.231,2a0d:5600:9::d06c:b4b7:17fc,,,,
2lphmu5vfb1qs1kewh60eun0twusouv0.appsync-api.us-west-2.avsvmcloud.com,20.140.139.227,2a0d:5600:9::d0a4:4d13:38b2,,,,
2lphmu5vfb1qs1newh60cun0ewusouv0.appsync-api.us-west-2.avsvmcloud.com,20.140.141.136,2a0d:5600:9::d149:bce0:3198,,,,
2o1rg9g07s6ihvsee6vi0gdsovertr2s.appsync-api.us-east-1.avsvmcloud.com,20.140.145.112,2a0d:5600:9::d306:19ba:295b,,,,
2oat8rs0rki2qrld5i5ef0ce2sd.appsync-api.us-east-1.avsvmcloud.com,20.140.145.166,2a0d:5600:9::d479:c4f4:2f6c,,,,
2odoa9fkjffh7g9dmnmove0ivri.appsync-api.us-east-1.avsvmcloud.com,20.140.146.105,2a0d:5600:9::d4d6:fc99:528c,,,,
2ostbcvirdqpka8dtvef0g12eu1.appsync-api.us-east-1.avsvmcloud.com,20.140.146.62,2a0d:5600:9::d826:9d2:88d6,,,,
2qnv7hr17ogjc27jj3hc.appsync-api.us-east-1.avsvmcloud.com,20.140.153.181,2a0d:5600:9::d94a:f14d:c189,,,,
